place_id,name,address,lat,lng,matched_keyword
ChIJty7R9DBXRzERZdVhravGOV0,TOUR DU LỊCH QUẢNG BÌNH,"41 Đường Hai Bà Trưng, Phường Hải Thành",17.4779964,106.6184464,Công trình di tích
ChIJwQIR_G-5ODER3cbUBO3hAkg,Blue Diamond Retreat,Xuân Trạch,17.6396179,106.2181411,Công trình di tích
ChIJO83QE47rODEReNLmi4FZZMU,Tú Làn Cave,"Q3CP+HM9, Minh Hoá",17.7714072,106.086739,Công trình di tích
ChIJ1WGKYtdWRzERb2PqobNKSyI,Sở lao động - thương binh và xã hội tỉnh Quảng Bình,"80-84 Đường Hai Bà Trưng, Phường Hải Thịnh",17.4745209,106.6174989,Công trình di tích
ChIJA4VVszSzQDERrtxmlLtsk_M,Nhà Lưu Niệm Đại Tướng Võ Nguyên Giáp,Lệ thủy,17.2437509,106.7498691,Công trình di tích
ChIJoXjBvFK6ODERkWQy-34_fHU,Jungle Boss Trekking Tours,"Thôn, Cù Lạc 1",17.6157282,106.3239998,Công trình di tích
ChIJYa-t9L1XRzER7udE9pkfo_U,Khu vui chơi trẻ em TV Kidz - Tuấn Việt,"Tuan Viet Center, 01 Mẹ Suốt, Đồng Hải",17.4632039,106.6247664,Công trình vui chơi
ChIJCd-1MMdXRzER49iAd_kB2Xw,Công viên Trẻ Em,"FJGF+68M, Đồng Hải",17.4754926,106.6235888,Công trình vui chơi
ChIJ5V9LDQCxQDERqJQJUxSQ5fw,Khu vui chơi CaLa,"6QFW+XQW, Tổ dân phố",17.2249808,106.7969621,Công trình vui chơi
ChIJgfkqjZlXRzERVznkYbr_CTQ,Trung tâm giáo trí Funny Kids - Vincom Quảng Bình,"Tầng 3, Vincom Plaza Quảng Bình Hải Đình, Đồng Hới",17.4654044,106.6266491,Công trình vui chơi
ChIJg6zTUABZRzERGN_t6LmCYDM,Zipy zone khu vui chơi nhân trạch,"GHRP+QQ4, Nhân Trạch",17.5417748,106.5865294,Công trình vui chơi
ChIJ_6wec8W7ODERN0aAUuEEbFI,Khu Vui Chơi Giải Trí Thiếu Nhi,"J868+9QG, Sơn Trạch",17.6109258,106.3169643,Công trình vui chơi
ChIJA0gnMwBRRzER_0y_pABtHaA,Khu vui chơi linny,"Legend 12, Bảo Ninh",17.4556389,106.6440038,Công trình vui chơi
ChIJZczLamGvQDERRwNjw2rhoQ0,"Bể bơi, Sân bóng, Khu vui chơi giải trí Sơn Lệ","6MQR+67J, Sơn Thuỷ",17.2380847,106.690628,Công trình vui chơi
ChIJK0-AUTVRPzER6u0TSpjrWtY,Khu vui chơi điu đo,"696M+4Q5, Trường Sơn",17.210255,106.3844716,Công trình vui chơi
ChIJAwvwodm7ODERKc1h4YFpGz4,Khu Vui Chơi giải trí Suối Đá,thôn 3,17.6419813,106.2695947,Công trình vui chơi
ChIJbyocUACZODEReC8kfugCXvo,Khu vui chơi trẻ em Nemo Kid,"60a Hùng Vương, Ba Đồn",17.7534261,106.4252763,Công trình vui chơi
ChIJzw-0wstWRzERFgQBxKR6PqE,Everland Quảng Bình,"01 Nguyễn Văn Trỗi, Hải Đình",17.4582097,106.6227158,Công trình vui chơi
ChIJnaRhtZRXRzERkC3BLsBsEx8,Bãi Tắm Trung Tâm Nhật Lệ,"FJVG+3W6 Biển Nhật Lệ, Trương Pháp, Bắc Lý",17.4926639,106.6272655,Công trình vui chơi
ChIJZTIJBuZXRzERkBzGJx447Ds,Khu vui chơi trẻ em HAPPY GAME,"FJ69+M5X, Phường Hải Thịnh",17.4617725,106.6179477,Công trình vui chơi
ChIJe26-ejWXODERNkgu0wfqxoc,Khu Vui Chơi Giải Trí Lèn Trúc,"R787+XGW, Tiến Hoá",17.8174903,106.2638265,Công trình vui chơi
ChIJaxgfM0xRRzERWMe_OZh84tY,Trò chơi xe điện QB Lệ Ri,"Quảng trường biển, Bảo Ninh",17.4744805,106.6354846,Công trình vui chơi
ChIJAxcpqDVXRzERxnNq69BOWms,Nhat Le Park,Đồng Hải,17.476619,106.6238758,Công trình vui chơi
ChIJk4kDFsOkODERXH2cun80_3g,The Duck Stop,"Thôn Khương Hà 3, Hưng Trạch",17.6044369,106.3656824,Công trình vui chơi
ChIJefVxZQBTRzERfWI_4OAgt-0,Cánh đồng điện gió Quảng Bình,"8PR5+GMX, Gia Ninh",17.3413521,106.7092358,Công trình vui chơi
ChIJD-gVSuRRRzER0FvASZwl48o,Regal Legend Quảng Bình,"FJ4W+X8V, Võ Nguyên Giáp, Bảo Ninh",17.4574738,106.6457929,Công trình vui chơi
ChIJMTKYFKtXRzERQnH7lXunF7I,Trung tâm tiêm chủng VNVC Đồng Hới,"Trung tâm mua sắm Hiếu Hằng, 58A Nguyễn Hữu Cảnh, Đồng Hải",17.463525,106.6200194,Công trình vui chơi
ChIJfQOWtl9XRzER7WGN17ZmlfY,Làng Đưng (Dung Village),Hồ Bàu Đưng,17.4636943,106.5693234,Công trình vui chơi
ChIJ72GaAABRRzERZpWAU2IKxZU,Phố đi bộ Regal Lake Walk,"FJ4W+62W, Bảo Ninh",17.4556117,106.645083,Công trình vui chơi
